# Pixel_X Pixel_Y Center Sum_C Sum_U Sum_D Sum_L Sum_R Avg0_C Avg0_U Avg0_D Avg0_L Avg0_R
12 4 280 -4633 -3513 -2291 -2721 -2832 -186 -235 -153 -182 -189
13 4 270 -4728 -3648 -2296 -2757 -2913 -190 -244 -154 -184 -195
14 4 258 -4834 -3786 -2310 -2832 -2972 -194 -253 -154 -189 -199
15 4 245 -4915 -3891 -2321 -2913 -3003 -197 -260 -155 -195 -201
0 5 203 -5484 -4548 -2452 -3357 -3246 -220 -304 -164 -224 -217
1 5 212 -5352 -4440 -2392 -3322 -3114 -215 -296 -160 -222 -208
2 5 223 -5131 -4251 -2297 -3246 -2928 -206 -284 -154 -217 -196
3 5 239 -4872 -4032 -2184 -3114 -2745 -195 -269 -146 -208 -183
4 5 266 -4619 -3819 -2073 -2928 -2589 -185 -255 -139 -196 -173
5 5 276 -4390 -3630 -1970 -2745 -2505 -176 -242 -132 -183 -167
6 5 283 -4203 -3483 -1881 -2589 -2445 -169 -233 -126 -173 -163
7 5 286 -4094 -3414 -1818 -2505 -2403 -164 -228 -122 -167 -161
8 5 288 -4012 -3372 -1764 -2445 -2367 -161 -225 -118 -163 -158
9 5 289 -3948 -3348 -1716 -2403 -2334 -158 -224 -115 -161 -156
10 5 290 -3926 -3366 -1682 -2367 -2337 -158 -225 -113 -158 -156
11 5 291 -3946 -3426 -1662 -2334 -2379 -158 -229 -111 -156 -159
12 5 280 -4005 -3525 -1655 -2337 -2460 -161 -235 -111 -156 -164
13 5 268 -4100 -3660 -1660 -2379 -2541 -164 -244 -111 -159 -170
14 5 256 -4206 -3798 -1674 -2460 -2594 -169 -254 -112 -164 -173
15 5 245 -4287 -3903 -1685 -2541 -2619 -172 -261 -113 -170 -175
0 6 241 -3680 -3384 -1424 -2631 -1926 -148 -226 -95 -176 -129
1 6 351 -3566 -3294 -1370 -2293 -1812 -143 -220 -92 -153 -121
2 6 358 -3384 -3144 -1288 -1926 -1968 -136 -210 -86 -129 -132
3 6 271 -3146 -2946 -1182 -1812 -2097 -126 -197 -79 -121 -140
4 6 291 -3193 -3033 -1171 -1968 -1920 -128 -203 -79 -132 -128
5 6 307 -3246 -3126 -1162 -2097 -1788 -130 -209 -78 -140 -120
6 6 322 -3032 -2952 -1064 -1920 -1698 -122 -197 -71 -128 -114
7 6 327 -2875 -2835 -985 -1788 -1650 -115 -189 -66 -120 -110
8 6 329 -2766 -2766 -922 -1698 -1617 -111 -185 -62 -114 -108
9 6 330 -2717 -2757 -879 -1650 -1605 -109 -184 -59 -110 -107
10 6 330 -2716 -2796 -852 -1617 -1629 -109 -187 -57 -108 -109
11 6 325 -2766 -2886 -842 -1605 -1698 -111 -193 -57 -107 -114
12 6 314 -2855 -3015 -845 -1629 -1788 -115 -201 -57 -109 -120
13 6 299 -2698 -2898 -766 -1698 -1599 -108 -194 -52 -114 -107
14 6 287 -2534 -2766 -690 -1788 -1373 -102 -185 -46 -120 -92
15 6 369 -2345 -2601 -611 -1599 -1119 -94 -174 -41 -107 -75
0 7 342 -2158 -2502 -490 -1338 -1266 -87 -167 -33 -90 -85
1 7 347 -2074 -2442 -446 -1315 -1182 -83 -163 -30 -88 -79
2 7 353 -1958 -2358 -386 -1266 -1089 -79 -158 -26 -85 -73
3 7 362 -1810 -2250 -310 -1182 -990 -73 -150 -21 -79 -66
4 7 370 -1659 -2139 -233 -1089 -900 -67 -143 -16 -73 -60
5 7 378 -1733 -2253 -231 -990 -1041 -70 -151 -16 -66 -70
6 7 384 -1819 -2379 -233 -900 -1191 -73 -159 -16 -60 -80
7 7 315 -1926 -2526 -242 -1041 -1356 -78 -169 -17 -70 -91
8 7 320 -2057 -2697 -259 -1191 -1314 -83 -180 -18 -80 -88
9 7 321 -2008 -2688 -216 -1356 -1089 -81 -180 -15 -91 -73
10 7 321 -1764 -2484 -108 -1314 -879 -71 -166 -8 -88 -59
11 7 387 -1553 -2313 -11 -1089 -687 -63 -155 -1 -73 -46
12 7 383 -1363 -2163 79 -879 -711 -55 -145 5 -59 -48
13 7 377 -1185 -2025 165 -687 -735 -48 -135 11 -46 -49
14 7 371 -1213 -2085 177 -711 -749 -49 -139 11 -48 -50
15 7 367 -1237 -2133 185 -735 -753 -50 -143 12 -49 -51
0 8 385 -873 -1857 365 -567 -495 -35 -124 24 -38 -33
1 8 390 -795 -1803 407 -544 -417 -32 -121 27 -37 -28
2 8 396 -718 -1758 454 -495 -363 -29 -118 30 -33 -25
3 8 403 -642 -1722 506 -417 -336 -26 -115 33 -28 -23
4 8 400 -563 -1683 559 -363 -312 -23 -113 37 -25 -21
5 8 397 -487 -1647 611 -336 -264 -20 -110 40 -23 -18
6 8 403 -426 -1626 658 -312 -201 -18 -109 43 -21 -14
7 8 408 -353 -1593 709 -264 -153 -15 -107 47 -18 -11
8 8 410 -274 -1554 762 -201 -123 -11 -104 50 -14 -9
9 8 411 -225 -1545 805 -153 -111 -9 -103 53 -11 -8
10 8 410 -206 -1566 838 -123 -117 -9 -105 55 -9 -8
11 8 406 -181 -1581 873 -111 -108 -8 -106 58 -8 -8
